,instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temperatura,atemp,humedad,windspeed,casual,registered,total_alquileres,usuarios_totales,clima
441,442,2012-03-17,springer,1,3,0,6,0,2,21.080847000000002,0.505046,0.755833,0.110704,3155,4681,7836,7836,Nublado
442,443,2012-03-18,springer,1,3,0,0,0,2,19.3725,0.464,0.81,0.126883,2207,3685,5892,5892,Nublado
443,444,2012-03-19,springer,1,3,0,1,1,1,22.345000000000002,0.532821,0.72875,0.162317,982,5171,6153,6153,Despejado
444,445,2012-03-20,springer,1,3,0,2,1,1,22.994153,0.538533,0.807917,0.121271,1051,5042,6093,6093,Despejado
445,446,2012-03-21,summer,1,3,0,3,1,2,21.798347,0.513258,0.82125,0.0895583,1122,5108,6230,6230,Nublado
446,447,2012-03-22,summer,1,3,0,4,1,1,22.720847,0.531567,0.83125,0.117562,1334,5537,6871,6871,Despejado
447,448,2012-03-23,summer,1,3,0,5,1,2,24.668346999999997,0.570067,0.694167,0.1163,2469,5893,8362,8362,Nublado
448,449,2012-03-24,summer,1,3,0,6,0,2,20.6025,0.486733,0.885417,0.192783,1033,2339,3372,3372,Nublado
449,450,2012-03-25,summer,1,3,0,0,0,2,17.9375,0.437488,0.880833,0.220775,1532,3464,4996,4996,Nublado
450,451,2012-03-26,summer,1,3,0,1,1,1,18.279153,0.43875,0.477917,0.386821,795,4763,5558,5558,Despejado
451,452,2012-03-27,summer,1,3,0,2,1,1,13.256653,0.315654,0.29,0.187192,531,4571,5102,5102,Despejado
452,453,2012-03-28,summer,1,3,0,3,1,1,19.850847,0.47095,0.48125,0.291671,674,5024,5698,5698,Despejado
453,454,2012-03-29,summer,1,3,0,4,1,1,20.260847000000002,0.482304,0.439167,0.31965,834,5299,6133,6133,Despejado
454,455,2012-03-30,summer,1,3,0,5,1,2,15.17,0.375621,0.580833,0.138067,796,4663,5459,5459,Nublado
455,456,2012-03-31,summer,1,3,0,6,0,2,17.390847,0.421708,0.738333,0.250617,2301,3934,6235,6235,Nublado
456,457,2012-04-01,summer,1,4,0,0,0,2,17.459153,0.417287,0.67625,0.172267,2347,3694,6041,6041,Nublado
457,458,2012-04-02,summer,1,4,0,1,1,1,17.790433,0.427513,0.504348,0.312139,1208,4728,5936,5936,Despejado
458,459,2012-04-03,summer,1,4,0,2,1,1,19.133347,0.461483,0.396667,0.100133,1348,5424,6772,6772,Despejado
459,460,2012-04-04,summer,1,4,0,3,1,1,22.208347,0.53345,0.469583,0.180975,1058,5378,6436,6436,Despejado
460,461,2012-04-05,summer,1,4,0,4,1,1,17.835,0.431163,0.374167,0.219529,1192,5265,6457,6457,Despejado
461,462,2012-04-06,summer,1,4,0,5,1,1,16.536653,0.390767,0.377083,0.300388,1807,4653,6460,6460,Despejado
462,463,2012-04-07,summer,1,4,0,6,0,1,17.9375,0.426129,0.254167,0.274871,3252,3605,6857,6857,Despejado
463,464,2012-04-08,summer,1,4,0,0,0,1,20.5,0.492425,0.275833,0.232596,2230,2939,5169,5169,Despejado
464,465,2012-04-09,summer,1,4,0,1,1,1,20.055847,0.476638,0.3175,0.358196,905,4680,5585,5585,Despejado
465,466,2012-04-10,summer,1,4,0,2,1,1,18.313347,0.436233,0.435,0.249375,819,5099,5918,5918,Despejado
466,467,2012-04-11,summer,1,4,0,3,1,1,14.296536,0.337274,0.469565,0.295274,482,4380,4862,4862,Despejado
467,468,2012-04-12,summer,1,4,0,4,1,1,16.2975,0.387604,0.46625,0.290429,663,4746,5409,5409,Despejado
468,469,2012-04-13,summer,1,4,0,5,1,1,18.142500000000002,0.431808,0.408333,0.155471,1252,5146,6398,6398,Despejado
469,470,2012-04-14,summer,1,4,0,6,0,1,20.294999999999998,0.487996,0.502917,0.190917,2795,4665,7460,7460,Despejado
470,471,2012-04-15,summer,1,4,0,0,0,1,24.873347,0.573875,0.507917,0.225129,2846,4286,7132,7132,Despejado
471,472,2012-04-16,summer,1,4,1,1,0,1,27.230846999999997,0.614925,0.561667,0.284829,1198,5172,6370,6370,Despejado
472,473,2012-04-17,summer,1,4,0,2,1,1,24.941653000000002,0.598487,0.390417,0.273629,989,5702,6691,6691,Despejado
473,474,2012-04-18,summer,1,4,0,3,1,2,18.996653,0.457038,0.569167,0.167912,347,4020,4367,4367,Nublado
474,475,2012-04-19,summer,1,4,0,4,1,1,20.431653,0.493046,0.6125,0.0659292,846,5719,6565,6565,Despejado
475,476,2012-04-20,summer,1,4,0,5,1,1,21.593347,0.515775,0.694583,0.149871,1340,5950,7290,7290,Despejado
476,477,2012-04-21,summer,1,4,0,6,0,1,23.369999999999997,0.542921,0.682917,0.283587,2541,4083,6624,6624,Despejado
477,478,2012-04-22,summer,1,4,0,0,0,3,16.263347,0.389504,0.835417,0.344546,120,907,1027,1027,Lluvioso
478,479,2012-04-23,summer,1,4,0,1,1,2,13.188346999999998,0.301125,0.766667,0.303496,195,3019,3214,3214,Nublado
479,480,2012-04-24,summer,1,4,0,2,1,1,16.946653,0.405283,0.454167,0.249383,518,5115,5633,5633,Despejado
480,481,2012-04-25,summer,1,4,0,3,1,1,19.543347,0.470317,0.427917,0.118792,655,5541,6196,6196,Despejado
481,482,2012-04-26,summer,1,4,0,4,1,2,20.431653,0.483583,0.756667,0.176625,475,4551,5026,5026,Nublado
482,483,2012-04-27,summer,1,4,0,5,1,1,18.7575,0.452637,0.400833,0.347633,1014,5219,6233,6233,Despejado
483,484,2012-04-28,summer,1,4,0,6,0,2,15.443347,0.377504,0.489583,0.129975,1120,3100,4220,4220,Nublado
484,485,2012-04-29,summer,1,4,0,0,0,1,18.791653,0.450121,0.587083,0.116908,2229,4075,6304,6304,Despejado
485,486,2012-04-30,summer,1,4,0,1,1,2,19.030847,0.457696,0.57,0.171638,665,4907,5572,5572,Nublado
486,487,2012-05-01,summer,1,5,0,2,1,2,25.146653,0.577021,0.659583,0.156096,653,5087,5740,5740,Nublado
487,488,2012-05-02,summer,1,5,0,3,1,1,23.130847,0.537896,0.797083,0.138058,667,5502,6169,6169,Despejado
488,489,2012-05-03,summer,1,5,0,4,1,2,22.96,0.537242,0.768333,0.133696,764,5657,6421,6421,Nublado
489,490,2012-05-04,summer,1,5,0,5,1,1,25.7275,0.590917,0.735417,0.162938,1069,5227,6296,6296,Despejado
490,491,2012-05-05,summer,1,5,0,6,0,2,25.488346999999997,0.584608,0.756667,0.152992,2496,4387,6883,6883,Nublado
491,492,2012-05-06,summer,1,5,0,0,0,2,23.0625,0.546737,0.74,0.149879,2135,4224,6359,6359,Nublado
492,493,2012-05-07,summer,1,5,0,1,1,2,22.037499999999998,0.527142,0.664167,0.230721,1008,5265,6273,6273,Nublado
493,494,2012-05-08,summer,1,5,0,2,1,2,23.848347,0.557471,0.685833,0.296029,738,4990,5728,5728,Nublado
494,495,2012-05-09,summer,1,5,0,3,1,2,23.575,0.553025,0.744167,0.216412,620,4097,4717,4717,Nublado
495,496,2012-05-10,summer,1,5,0,4,1,1,20.739152999999998,0.491783,0.552083,0.314063,1026,5546,6572,6572,Despejado
496,497,2012-05-11,summer,1,5,0,5,1,1,21.866653,0.520833,0.360417,0.236937,1319,5711,7030,7030,Despejado
497,498,2012-05-12,summer,1,5,0,6,0,1,23.130847,0.544817,0.480417,0.123133,2622,4807,7429,7429,Despejado
498,499,2012-05-13,summer,1,5,0,0,0,1,25.1125,0.585238,0.57625,0.225117,2172,3946,6118,6118,Despejado
499,500,2012-05-14,summer,1,5,0,1,1,2,23.506653,0.5499,0.789583,0.212692,342,2501,2843,2843,Nublado
500,501,2012-05-15,summer,1,5,0,2,1,2,25.078346999999997,0.576404,0.794583,0.147392,625,4490,5115,5115,Nublado
501,502,2012-05-16,summer,1,5,0,3,1,1,26.103347,0.595975,0.697917,0.122512,991,6433,7424,7424,Despejado
502,503,2012-05-17,summer,1,5,0,4,1,1,24.326653,0.572613,0.52,0.229475,1242,6142,7384,7384,Despejado
503,504,2012-05-18,summer,1,5,0,5,1,1,23.130847,0.551121,0.523333,0.136817,1521,6118,7639,7639,Despejado
504,505,2012-05-19,summer,1,5,0,6,0,1,24.599999999999998,0.566908,0.45625,0.083975,3410,4884,8294,8294,Despejado
505,506,2012-05-20,summer,1,5,0,0,0,1,25.454152999999998,0.583967,0.530417,0.254367,2704,4425,7129,7129,Despejado
506,507,2012-05-21,summer,1,5,0,1,1,2,24.531653,0.565667,0.81125,0.233204,630,3729,4359,4359,Nublado
507,508,2012-05-22,summer,1,5,0,2,1,2,25.215,0.580825,0.765833,0.118167,819,5254,6073,6073,Nublado
508,509,2012-05-23,summer,1,5,0,3,1,2,25.488346999999997,0.584612,0.774583,0.102,766,4494,5260,5260,Nublado
509,510,2012-05-24,summer,1,5,0,4,1,1,26.855,0.6067,0.716667,0.172896,1059,5711,6770,6770,Despejado
510,511,2012-05-25,summer,1,5,0,5,1,1,27.880000000000003,0.627529,0.747083,0.14055,1417,5317,6734,6734,Despejado
511,512,2012-05-26,summer,1,5,0,6,0,1,28.392500000000002,0.642696,0.7325,0.198992,2855,3681,6536,6536,Despejado
512,513,2012-05-27,summer,1,5,0,0,0,1,28.29,0.641425,0.697083,0.215171,3283,3308,6591,6591,Despejado
513,514,2012-05-28,summer,1,5,1,1,0,1,29.212500000000002,0.6793,0.67625,0.196521,2557,3486,6043,6043,Despejado
514,515,2012-05-29,summer,1,5,0,2,1,1,29.622500000000002,0.672992,0.684583,0.2954,880,4863,5743,5743,Despejado
515,516,2012-05-30,summer,1,5,0,3,1,2,26.923347,0.611129,0.67,0.134329,745,6110,6855,6855,Nublado
516,517,2012-05-31,summer,1,5,0,4,1,1,27.880000000000003,0.631329,0.492917,0.195279,1100,6238,7338,7338,Despejado
517,518,2012-06-01,summer,1,6,0,5,1,2,26.820847,0.607962,0.755417,0.237563,533,3594,4127,4127,Nublado
518,519,2012-06-02,summer,1,6,0,6,0,1,23.916653,0.566288,0.549167,0.186562,2795,5325,8120,8120,Despejado
519,520,2012-06-03,summer,1,6,0,0,0,1,24.7025,0.575133,0.493333,0.184087,2494,5147,7641,7641,Despejado
520,521,2012-06-04,summer,1,6,0,1,1,1,24.497500000000002,0.578283,0.487083,0.284833,1071,5927,6998,6998,Despejado
521,522,2012-06-05,summer,1,6,0,2,1,2,22.174153,0.525892,0.613333,0.209575,968,6033,7001,7001,Nublado
522,523,2012-06-06,summer,1,6,0,3,1,1,22.720847,0.542292,0.61125,0.077125,1027,6028,7055,7055,Despejado
523,524,2012-06-07,summer,1,6,0,4,1,1,24.7025,0.569442,0.567083,0.15735,1038,6456,7494,7494,Despejado
524,525,2012-06-08,summer,1,6,0,5,1,1,26.615847000000002,0.597862,0.467917,0.175383,1488,6248,7736,7736,Despejado
525,526,2012-06-09,summer,1,6,0,6,0,1,29.144153000000003,0.648367,0.437083,0.144287,2708,4790,7498,7498,Despejado
526,527,2012-06-10,summer,1,6,0,0,0,1,29.793346999999997,0.663517,0.538333,0.133721,2224,4374,6598,6598,Despejado
527,528,2012-06-11,summer,1,6,0,1,1,2,29.554153,0.659721,0.587917,0.207713,1017,5647,6664,6664,Nublado
528,529,2012-06-12,summer,1,6,0,2,1,2,26.786653,0.597875,0.833333,0.214546,477,4495,4972,4972,Nublado
529,530,2012-06-13,summer,1,6,0,3,1,1,26.889153,0.611117,0.582083,0.343279,1173,6248,7421,7421,Despejado
530,531,2012-06-14,summer,1,6,0,4,1,1,26.581653000000003,0.624383,0.569583,0.253733,1180,6183,7363,7363,Despejado
531,532,2012-06-15,summer,1,6,0,5,1,1,26.205847000000002,0.599754,0.589583,0.176617,1563,6102,7665,7665,Despejado
532,533,2012-06-16,summer,1,6,0,6,0,1,25.898346999999998,0.594708,0.504167,0.166667,2963,4739,7702,7702,Despejado
533,534,2012-06-17,summer,1,6,0,0,0,1,24.2925,0.571975,0.59875,0.144904,2634,4344,6978,6978,Despejado
534,535,2012-06-18,summer,1,6,0,1,1,2,23.301652999999998,0.544842,0.777917,0.174746,653,4446,5099,5099,Nublado
535,536,2012-06-19,summer,1,6,0,2,1,1,28.221653,0.654692,0.69,0.148017,968,5857,6825,6825,Despejado
536,537,2012-06-20,summer,1,6,0,3,1,1,32.082499999999996,0.720975,0.592083,0.113812,872,5339,6211,6211,Despejado
537,538,2012-06-21,fall,1,6,0,4,1,1,33.039153,0.752542,0.567917,0.118787,778,5127,5905,5905,Despejado
538,539,2012-06-22,fall,1,6,0,5,1,1,31.877499999999998,0.724121,0.57375,0.182842,964,4859,5823,5823,Despejado
539,540,2012-06-23,fall,1,6,0,6,0,1,29.998347,0.652792,0.534583,0.179721,2657,4801,7458,7458,Despejado
540,541,2012-06-24,fall,1,6,0,0,0,1,30.476653000000002,0.674254,0.479167,0.145525,2551,4340,6891,6891,Despejado
541,542,2012-06-25,fall,1,6,0,1,1,1,29.349153,0.654042,0.504167,0.300383,1139,5640,6779,6779,Despejado
542,543,2012-06-26,fall,1,6,0,2,1,1,25.864152999999998,0.594704,0.373333,0.347642,1077,6365,7442,7442,Despejado
543,544,2012-06-27,fall,1,6,0,3,1,1,28.5975,0.640792,0.36,0.271775,1077,6258,7335,7335,Despejado
544,545,2012-06-28,fall,1,6,0,4,1,1,30.715847,0.675512,0.4225,0.17165,921,5958,6879,6879,Despejado
545,546,2012-06-29,fall,1,6,0,5,1,1,34.200847,0.786613,0.48875,0.165417,829,4634,5463,5463,Despejado
546,547,2012-06-30,fall,1,6,0,6,0,1,31.365000000000002,0.687508,0.60125,0.161071,1455,4232,5687,5687,Despejado
547,548,2012-07-01,fall,1,7,0,0,0,1,33.449153,0.750629,0.51875,0.168529,1421,4110,5531,5531,Despejado
548,549,2012-07-02,fall,1,7,0,1,1,1,32.048347,0.702038,0.447083,0.195267,904,5323,6227,6227,Despejado
549,550,2012-07-03,fall,1,7,0,2,1,1,32.014153,0.70265,0.492083,0.126237,1052,5608,6660,6660,Despejado
550,551,2012-07-04,fall,1,7,1,3,0,1,32.355847,0.732337,0.53875,0.13495,2562,4841,7403,7403,Despejado
551,552,2012-07-05,fall,1,7,0,4,1,1,33.9275,0.761367,0.457917,0.194029,1405,4836,6241,6241,Despejado
552,553,2012-07-06,fall,1,7,0,5,1,1,33.961653,0.752533,0.450833,0.146142,1366,4841,6207,6207,Despejado
553,554,2012-07-07,fall,1,7,0,6,0,1,35.328347,0.804913,0.492083,0.163554,1448,3392,4840,4840,Despejado
554,555,2012-07-08,fall,1,7,0,0,0,1,33.722500000000004,0.790396,0.57375,0.125629,1203,3469,4672,4672,Despejado
555,556,2012-07-09,fall,1,7,0,1,1,2,29.144153000000003,0.654054,0.683333,0.180975,998,5571,6569,6569,Nublado
556,557,2012-07-10,fall,1,7,0,2,1,2,29.554153,0.664796,0.6675,0.151737,954,5336,6290,6290,Nublado
557,558,2012-07-11,fall,1,7,0,3,1,1,29.383347,0.650271,0.633333,0.151733,975,6289,7264,7264,Despejado
558,559,2012-07-12,fall,1,7,0,4,1,1,29.349153,0.654683,0.529583,0.146775,1032,6414,7446,7446,Despejado
559,560,2012-07-13,fall,1,7,0,5,1,2,29.998347,0.667933,0.485833,0.08085,1511,5988,7499,7499,Nublado
560,561,2012-07-14,fall,1,7,0,6,0,2,28.836653,0.666042,0.699167,0.143679,2355,4614,6969,6969,Nublado
561,562,2012-07-15,fall,1,7,0,0,0,1,30.579152999999998,0.705196,0.717917,0.166667,1920,4111,6031,6031,Despejado
562,563,2012-07-16,fall,1,7,0,1,1,1,31.296653000000003,0.724125,0.645,0.164187,1088,5742,6830,6830,Despejado
563,564,2012-07-17,fall,1,7,0,2,1,1,33.551653,0.755683,0.505833,0.114429,921,5865,6786,6786,Despejado
564,565,2012-07-18,fall,1,7,0,3,1,1,32.526652999999996,0.745583,0.577083,0.137442,799,4914,5713,5713,Despejado
565,566,2012-07-19,fall,1,7,0,4,1,1,31.57,0.714642,0.600417,0.165429,888,5703,6591,6591,Despejado
566,567,2012-07-20,fall,1,7,0,5,1,2,27.299153,0.613025,0.844167,0.208967,747,5123,5870,5870,Nublado
567,568,2012-07-21,fall,1,7,0,6,0,3,24.429153,0.549912,0.865417,0.2133,1264,3195,4459,4459,Lluvioso
568,569,2012-07-22,fall,1,7,0,0,0,2,27.3675,0.623125,0.7625,0.0939208,2544,4866,7410,7410,Nublado
569,570,2012-07-23,fall,1,7,0,1,1,1,30.408347,0.690017,0.694167,0.138683,1135,5831,6966,6966,Despejado
570,571,2012-07-24,fall,1,7,0,2,1,1,30.784153,0.70645,0.655,0.211454,1140,6452,7592,7592,Despejado
571,572,2012-07-25,fall,1,7,0,3,1,1,29.690847,0.654054,0.45,0.1648,1383,6790,8173,8173,Despejado
572,573,2012-07-26,fall,1,7,0,4,1,1,31.843347,0.739263,0.596667,0.284813,1036,5825,6861,6861,Despejado
573,574,2012-07-27,fall,1,7,0,5,1,1,32.048347,0.734217,0.594583,0.152992,1259,5645,6904,6904,Despejado
574,575,2012-07-28,fall,1,7,0,6,0,1,30.989152999999998,0.697604,0.613333,0.15735,2234,4451,6685,6685,Despejado
575,576,2012-07-29,fall,1,7,0,0,0,1,29.588347,0.667933,0.62375,0.170396,2153,4444,6597,6597,Despejado
576,577,2012-07-30,fall,1,7,0,1,1,1,29.964153,0.684987,0.66875,0.153617,1040,6065,7105,7105,Despejado
577,578,2012-07-31,fall,1,7,0,2,1,1,29.246653,0.662896,0.704167,0.165425,968,6248,7216,7216,Despejado
578,579,2012-08-01,fall,1,8,0,3,1,1,29.4175,0.667308,0.6775,0.141179,1074,6506,7580,7580,Despejado
579,580,2012-08-02,fall,1,8,0,4,1,1,30.8525,0.707088,0.659583,0.129354,983,6278,7261,7261,Despejado
580,581,2012-08-03,fall,1,8,0,5,1,2,31.399153,0.722867,0.6425,0.215792,1328,5847,7175,7175,Nublado
581,582,2012-08-04,fall,1,8,0,6,0,1,32.526652999999996,0.751267,0.613333,0.257458,2345,4479,6824,6824,Despejado
582,583,2012-08-05,fall,1,8,0,0,0,1,31.535847,0.731079,0.6525,0.290421,1707,3757,5464,5464,Despejado
583,584,2012-08-06,fall,1,8,0,1,1,2,30.8525,0.710246,0.654167,0.129354,1233,5780,7013,7013,Nublado
584,585,2012-08-07,fall,1,8,0,2,1,2,30.169152999999998,0.697621,0.70375,0.116908,1278,5995,7273,7273,Nublado
585,586,2012-08-08,fall,1,8,0,3,1,2,30.75,0.707717,0.672917,0.1107,1263,6271,7534,7534,Nublado
586,587,2012-08-09,fall,1,8,0,4,1,1,30.989152999999998,0.699508,0.620417,0.1561,1196,6090,7286,7286,Despejado
587,588,2012-08-10,fall,1,8,0,5,1,2,29.349153,0.667942,0.715833,0.238813,1065,4721,5786,5786,Nublado
588,589,2012-08-11,fall,1,8,0,6,0,2,28.392500000000002,0.638267,0.732917,0.206479,2247,4052,6299,6299,Nublado
589,590,2012-08-12,fall,1,8,0,0,0,1,28.734153000000003,0.644579,0.530417,0.122512,2182,4362,6544,6544,Despejado
590,591,2012-08-13,fall,1,8,0,1,1,1,29.554153,0.662254,0.545417,0.136212,1207,5676,6883,6883,Despejado
591,592,2012-08-14,fall,1,8,0,2,1,1,29.793346999999997,0.676779,0.686667,0.169158,1128,5656,6784,6784,Despejado
592,593,2012-08-15,fall,1,8,0,3,1,1,28.973347,0.654037,0.619583,0.169771,1198,6149,7347,7347,Despejado
593,594,2012-08-16,fall,1,8,0,4,1,1,29.485847,0.654688,0.519167,0.141796,1338,6267,7605,7605,Despejado
594,595,2012-08-17,fall,1,8,0,5,1,1,29.656653,0.2424,0.570833,0.231354,1483,5665,7148,7148,Despejado
595,596,2012-08-18,fall,1,8,0,6,0,1,27.811653,0.618071,0.603333,0.177867,2827,5038,7865,7865,Despejado
596,597,2012-08-19,fall,1,8,0,0,0,2,26.069153,0.603554,0.711667,0.08645,1208,3341,4549,4549,Nublado
597,598,2012-08-20,fall,1,8,0,1,1,2,26.069153,0.595967,0.734167,0.129979,1026,5504,6530,6530,Nublado
598,599,2012-08-21,fall,1,8,0,2,1,1,26.615847000000002,0.601025,0.67375,0.0727708,1081,5925,7006,7006,Despejado
599,600,2012-08-22,fall,1,8,0,3,1,1,27.3675,0.621854,0.677083,0.0702833,1094,6281,7375,7375,Despejado
600,601,2012-08-23,fall,1,8,0,4,1,1,28.529153,0.637008,0.635833,0.0845958,1363,6402,7765,7765,Despejado
601,602,2012-08-24,fall,1,8,0,5,1,2,28.802500000000002,0.6471,0.615,0.0721458,1325,6257,7582,7582,Nublado
602,603,2012-08-25,fall,1,8,0,6,0,2,27.128347,0.618696,0.712917,0.244408,1829,4224,6053,6053,Nublado
603,604,2012-08-26,fall,1,8,0,0,0,2,26.786653,0.595996,0.845833,0.228858,1483,3772,5255,5255,Nublado
604,605,2012-08-27,fall,1,8,0,1,1,1,28.836653,0.654688,0.730417,0.128733,989,5928,6917,6917,Despejado
605,606,2012-08-28,fall,1,8,0,2,1,1,29.861653,0.66605,0.62,0.190925,935,6105,7040,7040,Despejado
606,607,2012-08-29,fall,1,8,0,3,1,1,28.085,0.635733,0.552083,0.112562,1177,6520,7697,7697,Despejado
607,608,2012-08-30,fall,1,8,0,4,1,1,28.973347,0.652779,0.590417,0.0771167,1172,6541,7713,7713,Despejado
608,609,2012-08-31,fall,1,8,0,5,1,1,31.330847000000002,0.6894,0.5875,0.168533,1433,5917,7350,7350,Despejado
609,610,2012-09-01,fall,1,9,0,6,0,2,30.886653000000003,0.702654,0.638333,0.113187,2352,3788,6140,6140,Nublado
610,611,2012-09-02,fall,1,9,0,0,0,2,28.563347,0.649,0.815,0.0640708,2613,3197,5810,5810,Nublado
611,612,2012-09-03,fall,1,9,1,1,0,1,29.0075,0.661629,0.790833,0.151121,1965,4069,6034,6034,Despejado
612,613,2012-09-04,fall,1,9,0,2,1,1,29.759152999999998,0.686888,0.755,0.236321,867,5997,6864,6864,Despejado
613,614,2012-09-05,fall,1,9,0,3,1,1,30.203346999999997,0.708983,0.74125,0.187808,832,6280,7112,7112,Despejado
614,615,2012-09-06,fall,1,9,0,4,1,2,28.563347,0.655329,0.810417,0.142421,611,5592,6203,6203,Nublado
615,616,2012-09-07,fall,1,9,0,5,1,1,28.836653,0.657204,0.73625,0.171646,1045,6459,7504,7504,Despejado
616,617,2012-09-08,fall,1,9,0,6,0,2,27.025847,0.611121,0.799167,0.281104,1557,4419,5976,5976,Nublado
617,618,2012-09-09,fall,1,9,0,0,0,1,25.009999999999998,0.578925,0.5475,0.224496,2570,5657,8227,8227,Despejado
618,619,2012-09-10,fall,1,9,0,1,1,1,23.916653,0.565654,0.50375,0.258713,1118,6407,7525,7525,Despejado
619,620,2012-09-11,fall,1,9,0,2,1,1,23.677500000000002,0.554292,0.52,0.0920542,1070,6697,7767,7767,Despejado
620,621,2012-09-12,fall,1,9,0,3,1,1,24.565847,0.570075,0.577083,0.131846,1050,6820,7870,7870,Despejado
621,622,2012-09-13,fall,1,9,0,4,1,1,25.1125,0.579558,0.637083,0.0827208,1054,6750,7804,7804,Despejado
622,623,2012-09-14,fall,1,9,0,5,1,1,25.966653,0.594083,0.6725,0.103863,1379,6630,8009,8009,Despejado
623,624,2012-09-15,fall,1,9,0,6,0,1,24.941653000000002,0.585867,0.501667,0.247521,3160,5554,8714,8714,Despejado
624,625,2012-09-16,fall,1,9,0,0,0,1,23.779999999999998,0.563125,0.57,0.0901833,2166,5167,7333,7333,Despejado
625,626,2012-09-17,fall,1,9,0,1,1,2,23.814153,0.55305,0.734583,0.151742,1022,5847,6869,6869,Nublado
626,627,2012-09-18,fall,1,9,0,2,1,2,25.556653,0.565067,0.8725,0.357587,371,3702,4073,4073,Nublado
627,628,2012-09-19,fall,1,9,0,3,1,1,22.6525,0.540404,0.536667,0.215175,788,6803,7591,7591,Despejado
628,629,2012-09-20,fall,1,9,0,4,1,1,22.413347,0.532192,0.618333,0.118167,939,6781,7720,7720,Despejado
629,630,2012-09-21,fall,1,9,0,5,1,1,24.565847,0.571971,0.66875,0.154229,1250,6917,8167,8167,Despejado
630,631,2012-09-22,fall,1,9,0,6,0,1,26.650000000000002,0.610488,0.646667,0.283583,2512,5883,8395,8395,Despejado
631,632,2012-09-23,winter,1,9,0,0,0,1,21.695847,0.518933,0.467083,0.223258,2454,5453,7907,7907,Despejado
632,633,2012-09-24,winter,1,9,0,1,1,1,21.080847000000002,0.502513,0.492917,0.142404,1001,6435,7436,7436,Despejado
633,634,2012-09-25,winter,1,9,0,2,1,1,22.55,0.544179,0.57,0.236321,845,6693,7538,7538,Despejado
634,635,2012-09-26,winter,1,9,0,3,1,1,26.035,0.596613,0.630833,0.2444,787,6946,7733,7733,Despejado
635,636,2012-09-27,winter,1,9,0,4,1,2,26.650000000000002,0.607975,0.690833,0.134342,751,6642,7393,7393,Nublado
636,637,2012-09-28,winter,1,9,0,5,1,2,25.385847000000002,0.585863,0.69,0.164179,1045,6370,7415,7415,Nublado
637,638,2012-09-29,winter,1,9,0,6,0,1,22.2425,0.530296,0.542917,0.227604,2589,5966,8555,8555,Despejado
638,639,2012-09-30,winter,1,9,0,0,0,1,21.593347,0.517663,0.583333,0.134958,2015,4874,6889,6889,Despejado
639,640,2012-10-01,winter,1,10,0,1,1,2,21.354153,0.512,0.649167,0.0908042,763,6015,6778,6778,Nublado
640,641,2012-10-02,winter,1,10,0,2,1,3,24.224153,0.542333,0.871667,0.104475,315,4324,4639,4639,Lluvioso
641,642,2012-10-03,winter,1,10,0,3,1,2,26.9575,0.599133,0.79375,0.0665458,728,6844,7572,7572,Nublado
642,643,2012-10-04,winter,1,10,0,4,1,2,26.9575,0.607975,0.722917,0.117546,891,6437,7328,7328,Nublado
643,644,2012-10-05,winter,1,10,0,5,1,1,25.215,0.580187,0.6275,0.10635,1516,6640,8156,8156,Despejado
644,645,2012-10-06,winter,1,10,0,6,0,1,22.720847,0.538521,0.664167,0.268025,3031,4934,7965,7965,Despejado
645,646,2012-10-07,winter,1,10,0,0,0,2,17.049153,0.419813,0.708333,0.141162,781,2729,3510,3510,Nublado
646,647,2012-10-08,winter,1,10,1,1,0,2,15.716652999999999,0.387608,0.709583,0.189679,874,4604,5478,5478,Nublado
647,648,2012-10-09,winter,1,10,0,2,1,2,18.313347,0.438112,0.761667,0.1903,601,5791,6392,6392,Nublado
648,649,2012-10-10,winter,1,10,0,3,1,1,21.080847000000002,0.503142,0.630833,0.187821,780,6911,7691,7691,Despejado
649,650,2012-10-11,winter,1,10,0,4,1,1,17.835,0.431167,0.463333,0.181596,834,6736,7570,7570,Despejado
650,651,2012-10-12,winter,1,10,0,5,1,1,17.9375,0.433071,0.539167,0.235092,1060,6222,7282,7282,Despejado
651,652,2012-10-13,winter,1,10,0,6,0,1,16.126653,0.391396,0.494583,0.146142,2252,4857,7109,7109,Despejado
652,653,2012-10-14,winter,1,10,0,0,0,1,21.388347,0.508204,0.640417,0.278612,2080,4559,6639,6639,Despejado
653,654,2012-10-15,winter,1,10,0,1,1,2,23.028347,0.53915,0.7075,0.296037,760,5115,5875,5875,Nublado
654,655,2012-10-16,winter,1,10,0,2,1,1,19.201653,0.460846,0.558333,0.182221,922,6612,7534,7534,Despejado
655,656,2012-10-17,winter,1,10,0,3,1,1,18.689153,0.450108,0.692917,0.101371,979,6482,7461,7461,Despejado
656,657,2012-10-18,winter,1,10,0,4,1,2,21.4225,0.512625,0.728333,0.236937,1008,6501,7509,7509,Nublado
657,658,2012-10-19,winter,1,10,0,5,1,2,23.096653,0.537896,0.815,0.134954,753,4671,5424,5424,Nublado
658,659,2012-10-20,winter,1,10,0,6,0,1,19.850847,0.472842,0.572917,0.117537,2806,5284,8090,8090,Despejado
659,660,2012-10-21,winter,1,10,0,0,0,1,19.030847,0.456429,0.51,0.166054,2132,4692,6824,6824,Despejado
